ID,gender,age,maritalStatus,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50
19971,Female,21,Married partner,High School Graduate,Office & Administrative Support,$12500 - $24999,never,never,4~8,1~3,less1
20338,Male,21,Single,Some college - no degree,Personal Care & Service,$25000 - $37499,1~3,4~8,less1,never,never
15233,Male,31,Married partner,Graduate degree (Masters or Doctorate),Education&Training&Library,$25000 - $37499,never,1~3,4~8,4~8,less1
17425,Female,26,Single,Bachelors degree,Computer & Mathematical,$25000 - $37499,less1,less1,4~8,1~3,never
11067,Female,31,Unmarried partner,Some college - no degree,Office & Administrative Support,$75000 - $87499,less1,1~3,gt8,4~8,1~3
13088,Male,26,Single,High School Graduate,Unemployed,$37500 - $49999,gt8,gt8,gt8,gt8,gt8
12140,Female,36,Married partner,Graduate degree (Masters or Doctorate),Business & Financial,$100000 or More,never,4~8,1~3,4~8,1~3
14576,Female,26,Unmarried partner,Graduate degree (Masters or Doctorate),Education&Training&Library,$37500 - $49999,never,1~3,1~3,1~3,less1
16655,Male,26,Unmarried partner,Some college - no degree,Transportation & Material Moving,$12500 - $24999,1~3,4~8,1~3,4~8,less1
11537,Female,36,Married partner,Some college - no degree,Construction & Extraction,$12500 - $24999,never,1~3,1~3,less1,less1
11015,Female,50plus,Divorced,Graduate degree (Masters or Doctorate),Retired,$12500 - $24999,1~3,4~8,4~8,4~8,less1
16201,Female,31,Unmarried partner,Some High School,Computer & Mathematical,$12500 - $24999,1~3,1~3,4~8,1~3,less1
20757,Female,31,Unmarried partner,Graduate degree (Masters or Doctorate),Computer & Mathematical,$50000 - $62499,less1,1~3,less1,1~3,less1
11242,Male,26,Single,Graduate degree (Masters or Doctorate),Sales & Related,$12500 - $24999,less1,4~8,4~8,1~3,never
12682,Male,41,Divorced,Some college - no degree,Transportation & Material Moving,$50000 - $62499,less1,less1,1~3,1~3,1~3
19121,Female,21,Married partner,Some college - no degree,Student,Less than $12500,less1,gt8,4~8,1~3,1~3
10865,Female,26,Unmarried partner,Associates degree,Community & Social Services,$50000 - $62499,never,1~3,1~3,1~3,less1
15740,Male,21,Single,Some college - no degree,Student,$100000 or More,less1,1~3,1~3,1~3,less1
15888,Male,31,Married partner,Graduate degree (Masters or Doctorate),Management,$87500 - $99999,never,never,4~8,gt8,4~8
16984,Male,36,Married partner,Bachelors degree,Computer & Mathematical,$50000 - $62499,1~3,never,1~3,4~8,never
21160,Female,41,Married partner,Graduate degree (Masters or Doctorate),Computer & Mathematical,$75000 - $87499,less1,4~8,gt8,1~3,less1
18873,Male,26,Single,Graduate degree (Masters or Doctorate),Healthcare Support,$37500 - $49999,4~8,1~3,4~8,1~3,less1
11274,Male,50plus,Widowed,Some college - no degree,Construction & Extraction,Less than $12500,never,never,less1,1~3,less1
11478,Male,46,Married partner,Graduate degree (Masters or Doctorate),Management,$87500 - $99999,less1,1~3,1~3,less1,1~3
11930,Female,31,Single,Bachelors degree,Transportation & Material Moving,$25000 - $37499,less1,1~3,4~8,gt8,less1
11966,Male,36,Married partner,Some college - no degree,Management,$75000 - $87499,1~3,1~3,1~3,4~8,less1
22374,Male,26,Single,Bachelors degree,Unemployed,$12500 - $24999,1~3,less1,4~8,1~3,less1
18137,Male,31,Single,Some college - no degree,Office & Administrative Support,$12500 - $24999,4~8,never,gt8,1~3,never
22528,Male,21,Unmarried partner,High School Graduate,Food Preparation & Serving Related,$12500 - $24999,1~3,never,gt8,4~8,1~3
11701,Female,26,Married partner,Some college - no degree,Unemployed,$50000 - $62499,never,less1,1~3,1~3,never
21211,Male,26,Single,Bachelors degree,Student,$12500 - $24999,less1,gt8,gt8,gt8,less1
19696,Male,41,Married partner,Some college - no degree,Production Occupations,$25000 - $37499,less1,never,gt8,1~3,1~3
18017,Male,21,Single,Bachelors degree,Unemployed,$50000 - $62499,less1,1~3,1~3,less1,less1
17037,Female,50plus,Divorced,Bachelors degree,Retired,Less than $12500,never,4~8,gt8,gt8,less1
18290,Male,21,Single,Associates degree,Computer & Mathematical,$37500 - $49999,never,less1,1~3,less1,less1
17125,Male,31,Married partner,Graduate degree (Masters or Doctorate),Education&Training&Library,$62500 - $74999,less1,less1,4~8,4~8,less1
12972,Male,31,Married partner,Some college - no degree,Computer & Mathematical,$37500 - $49999,never,less1,4~8,less1,less1
10545,Female,46,Single,Bachelors degree,Arts Design Entertainment Sports & Media,$37500 - $49999,never,less1,less1,less1,never
18899,Male,26,Unmarried partner,Associates degree,Management,$12500 - $24999,less1,less1,4~8,1~3,less1
17194,Male,46,Single,Graduate degree (Masters or Doctorate),Computer & Mathematical,$37500 - $49999,never,gt8,1~3,4~8,less1
12523,Male,50plus,Married partner,Associates degree,Management,$12500 - $24999,4~8,4~8,4~8,gt8,gt8
12158,Female,36,Married partner,Graduate degree (Masters or Doctorate),Business & Financial,$100000 or More,never,4~8,1~3,4~8,1~3
21140,Male,50plus,Single,Bachelors degree,Management,$100000 or More,1~3,4~8,4~8,1~3,less1
16355,Female,21,Married partner,Some college - no degree,Unemployed,$50000 - $62499,less1,4~8,4~8,4~8,4~8
17433,Female,26,Single,Bachelors degree,Computer & Mathematical,$25000 - $37499,less1,less1,4~8,1~3,never
16093,Male,21,Unmarried partner,Some college - no degree,Food Preparation & Serving Related,$12500 - $24999,1~3,less1,1~3,1~3,never
10133,Female,26,Married partner,Some college - no degree,Unemployed,$62500 - $74999,never,less1,gt8,4~8,never
19945,Male,31,Single,Bachelors degree,Education&Training&Library,$50000 - $62499,never,never,1~3,1~3,1~3
12318,Female,31,Single,Bachelors degree,Sales & Related,$25000 - $37499,4~8,1~3,1~3,4~8,1~3
18641,Female,26,Married partner,Bachelors degree,Unemployed,$87500 - $99999,1~3,less1,,less1,less1
21463,Female,41,Married partner,Some college - no degree,Education&Training&Library,$100000 or More,never,gt8,gt8,gt8,4~8
17145,Female,41,Married partner,Bachelors degree,Personal Care & Service,$100000 or More,1~3,less1,less1,1~3,1~3
19530,Male,31,Unmarried partner,Bachelors degree,Sales & Related,$12500 - $24999,never,less1,1~3,1~3,never
10765,Female,26,Single,Graduate degree (Masters or Doctorate),Legal,$25000 - $37499,1~3,1~3,1~3,gt8,1~3
15866,Female,26,Married partner,Graduate degree (Masters or Doctorate),Community & Social Services,$50000 - $62499,less1,less1,less1,gt8,less1
17025,Female,50plus,Divorced,Bachelors degree,Retired,Less than $12500,never,4~8,gt8,gt8,less1
21697,Female,50plus,Married partner,High School Graduate,Sales & Related,$37500 - $49999,never,gt8,4~8,1~3,less1
17203,Female,50plus,Married partner,Some college - no degree,Arts Design Entertainment Sports & Media,$37500 - $49999,never,1~3,never,1~3,less1
11853,Male,21,Single,Bachelors degree,Architecture & Engineering,$50000 - $62499,1~3,never,less1,4~8,never
21918,Female,below21,Single,Some college - no degree,Student,$100000 or More,never,less1,1~3,1~3,1~3
12104,Female,26,Single,Bachelors degree,Unemployed,Less than $12500,4~8,1~3,gt8,4~8,1~3
19706,Male,41,Married partner,Some college - no degree,Production Occupations,$25000 - $37499,less1,never,gt8,1~3,1~3
13056,Female,41,Married partner,Graduate degree (Masters or Doctorate),Computer & Mathematical,$75000 - $87499,less1,gt8,4~8,gt8,less1
18387,Female,50plus,Single,Bachelors degree,Installation Maintenance & Repair,$25000 - $37499,never,4~8,4~8,gt8,less1
11813,Female,50plus,Married partner,Bachelors degree,Retired,$50000 - $62499,never,less1,4~8,1~3,less1
13092,Male,26,Married partner,Bachelors degree,Computer & Mathematical,$87500 - $99999,never,less1,1~3,1~3,less1
15572,Male,36,Married partner,Graduate degree (Masters or Doctorate),Transportation & Material Moving,$87500 - $99999,less1,less1,less1,1~3,less1
16000,Female,50plus,Divorced,Graduate degree (Masters or Doctorate),Retired,$37500 - $49999,never,never,4~8,1~3,never
14322,Female,46,Single,Some college - no degree,Protective Service,$25000 - $37499,1~3,never,4~8,1~3,1~3
10098,Male,21,Single,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3
12074,Female,36,Divorced,Graduate degree (Masters or Doctorate),Student,$12500 - $24999,never,gt8,gt8,gt8,1~3
17114,Male,31,Married partner,Graduate degree (Masters or Doctorate),Education&Training&Library,$62500 - $74999,less1,less1,4~8,4~8,less1
13605,Female,26,Single,Bachelors degree,Retired,$87500 - $99999,never,less1,less1,1~3,less1
16582,Male,36,Married partner,Associates degree,Management,$87500 - $99999,never,,less1,less1,never
20430,Female,21,Single,High School Graduate,Unemployed,Less than $12500,1~3,4~8,gt8,gt8,4~8
13363,Male,26,Single,High School Graduate,Sales & Related,$12500 - $24999,never,never,4~8,1~3,never
15421,Female,26,Single,Bachelors degree,Personal Care & Service,$12500 - $24999,never,,1~3,1~3,less1
10443,Male,26,Single,Bachelors degree,Computer & Mathematical,$50000 - $62499,never,1~3,1~3,less1,less1
20083,Female,31,Single,Associates degree,Arts Design Entertainment Sports & Media,$75000 - $87499,never,less1,4~8,1~3,1~3
11063,Female,31,Unmarried partner,Some college - no degree,Office & Administrative Support,$75000 - $87499,less1,1~3,gt8,4~8,1~3
16281,Female,31,Married partner,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,gt8,4~8,1~3
19668,Male,21,Single,Some college - no degree,Student,$62500 - $74999,never,never,4~8,1~3,1~3
11166,Male,26,Unmarried partner,Some college - no degree,Computer & Mathematical,$50000 - $62499,,,,,
20444,Female,21,Single,High School Graduate,Unemployed,Less than $12500,1~3,4~8,gt8,gt8,4~8
18547,Female,36,Unmarried partner,Associates degree,Unemployed,$75000 - $87499,never,never,gt8,gt8,1~3
18396,Female,50plus,Single,Bachelors degree,Installation Maintenance & Repair,$25000 - $37499,never,4~8,4~8,gt8,less1
15480,Female,41,Single,Some college - no degree,Business & Financial,$12500 - $24999,never,less1,less1,less1,never
11989,Male,21,Married partner,Bachelors degree,Management,$50000 - $62499,never,never,4~8,4~8,1~3
11429,Female,36,Married partner,Bachelors degree,Education&Training&Library,$87500 - $99999,less1,gt8,4~8,1~3,less1
18675,Male,26,Single,Bachelors degree,Business & Financial,$100000 or More,4~8,1~3,less1,1~3,less1
11200,Female,31,Married partner,Some college - no degree,Sales & Related,$12500 - $24999,1~3,,4~8,4~8,
22060,Male,46,Married partner,Bachelors degree,Community & Social Services,$100000 or More,less1,never,1~3,1~3,1~3
16996,Male,36,Married partner,Bachelors degree,Computer & Mathematical,$50000 - $62499,1~3,never,1~3,4~8,never
13896,Male,50plus,Single,Bachelors degree,Computer & Mathematical,$75000 - $87499,1~3,never,1~3,4~8,1~3
22521,Male,26,Single,Some college - no degree,Sales & Related,Less than $12500,never,never,never,1~3,never
13055,Female,41,Married partner,Graduate degree (Masters or Doctorate),Computer & Mathematical,$75000 - $87499,less1,gt8,4~8,gt8,less1
12557,Female,26,Single,Some college - no degree,Office & Administrative Support,$37500 - $49999,4~8,4~8,4~8,4~8,less1
12541,Female,26,Single,Some college - no degree,Office & Administrative Support,$37500 - $49999,4~8,4~8,4~8,4~8,less1
19287,Female,26,Unmarried partner,High School Graduate,Healthcare Support,$25000 - $37499,less1,less1,1~3,1~3,1~3
21374,Female,21,Married partner,Associates degree,Unemployed,$50000 - $62499,never,1~3,1~3,1~3,1~3
21286,Male,21,Single,Bachelors degree,Student,$25000 - $37499,1~3,4~8,1~3,1~3,less1
21522,Male,below21,Single,Some college - no degree,Student,Less than $12500,never,gt8,gt8,gt8,less1
17006,Female,31,Married partner,Graduate degree (Masters or Doctorate),Education&Training&Library,$12500 - $24999,never,1~3,less1,1~3,1~3
14974,Male,21,Single,Bachelors degree,Sales & Related,$100000 or More,less1,4~8,1~3,4~8,1~3
21793,Female,41,Married partner,Associates degree,Unemployed,$62500 - $74999,less1,less1,less1,less1,less1
15943,Female,21,Married partner,Some college - no degree,Unemployed,$37500 - $49999,less1,less1,1~3,1~3,1~3
15443,Female,50plus,Single,Bachelors degree,Unemployed,Less than $12500,never,never,less1,less1,never
13903,Male,50plus,Single,Bachelors degree,Computer & Mathematical,$75000 - $87499,1~3,never,1~3,4~8,1~3
12533,Male,50plus,Married partner,Associates degree,Management,$12500 - $24999,4~8,4~8,4~8,gt8,gt8
15707,Female,26,Married partner,Graduate degree (Masters or Doctorate),Unemployed,$62500 - $74999,4~8,1~3,4~8,4~8,1~3
12729,Male,21,Single,Bachelors degree,Computer & Mathematical,$87500 - $99999,1~3,1~3,1~3,4~8,1~3
14304,Male,21,Unmarried partner,Bachelors degree,Education&Training&Library,$12500 - $24999,1~3,4~8,4~8,4~8,never
18283,Male,21,Single,Associates degree,Computer & Mathematical,$37500 - $49999,never,less1,1~3,less1,less1
20859,Male,41,Single,Bachelors degree,Business & Financial,$62500 - $74999,1~3,4~8,1~3,4~8,4~8
13446,Male,26,Single,Associates degree,Office & Administrative Support,$37500 - $49999,4~8,less1,1~3,4~8,1~3
18699,Male,31,Married partner,Graduate degree (Masters or Doctorate),Business & Financial,$75000 - $87499,1~3,4~8,less1,4~8,less1
18438,Male,41,Married partner,Associates degree,Farming Fishing & Forestry,$25000 - $37499,never,never,never,1~3,never
16900,Female,21,Unmarried partner,Bachelors degree,Sales & Related,$25000 - $37499,1~3,4~8,4~8,1~3,1~3
12617,Female,41,Married partner,Bachelors degree,Legal,$100000 or More,never,1~3,1~3,1~3,less1
10829,Male,46,Married partner,Some college - no degree,Computer & Mathematical,$62500 - $74999,never,1~3,4~8,1~3,1~3
11755,Female,26,Single,Bachelors degree,Education&Training&Library,$25000 - $37499,never,1~3,less1,1~3,less1
16571,Female,41,Married partner,Bachelors degree,Office & Administrative Support,$62500 - $74999,4~8,1~3,4~8,gt8,less1
12111,Female,26,Single,Bachelors degree,Unemployed,Less than $12500,4~8,1~3,gt8,4~8,1~3
13555,Female,21,Single,Some college - no degree,Student,Less than $12500,gt8,4~8,4~8,4~8,1~3
19290,Female,26,Unmarried partner,High School Graduate,Healthcare Support,$25000 - $37499,less1,less1,1~3,1~3,1~3
19881,Female,36,Divorced,Associates degree,Computer & Mathematical,$12500 - $24999,less1,4~8,1~3,less1,less1
10135,Female,26,Married partner,Some college - no degree,Unemployed,$62500 - $74999,never,less1,gt8,4~8,never
18585,Female,21,Unmarried partner,Bachelors degree,Education&Training&Library,$25000 - $37499,1~3,1~3,less1,1~3,never
21212,Male,below21,Unmarried partner,Some college - no degree,Student,$25000 - $37499,never,never,1~3,less1,never
18788,Male,26,Married partner,Bachelors degree,Computer & Mathematical,$100000 or More,4~8,,1~3,1~3,less1
10649,Female,41,Single,Some college - no degree,Office & Administrative Support,$25000 - $37499,less1,1~3,1~3,1~3,never
15105,Female,21,Single,Some college - no degree,Student,$50000 - $62499,never,never,never,gt8,less1
18358,Male,26,Unmarried partner,Bachelors degree,Sales & Related,$75000 - $87499,never,never,1~3,4~8,1~3
13635,Male,21,Single,Bachelors degree,Student,$62500 - $74999,4~8,4~8,1~3,1~3,less1
14711,Female,21,Unmarried partner,Bachelors degree,Student,$50000 - $62499,less1,never,1~3,4~8,1~3
14542,Female,46,Married partner,Some college - no degree,Personal Care & Service,$37500 - $49999,never,less1,less1,1~3,less1
14280,Female,26,Single,Bachelors degree,Education&Training&Library,$50000 - $62499,1~3,never,4~8,1~3,less1
21904,Male,26,Single,Some college - no degree,Unemployed,$100000 or More,1~3,never,4~8,1~3,less1
12656,Female,26,Married partner,Bachelors degree,Architecture & Engineering,$37500 - $49999,never,1~3,1~3,1~3,less1
17642,Male,50plus,Married partner,Associates degree,Retired,$37500 - $49999,never,never,4~8,4~8,never
20069,Female,50plus,Single,Some college - no degree,Unemployed,Less than $12500,never,1~3,less1,1~3,less1
14043,Female,21,Married partner,Some college - no degree,Sales & Related,Less than $12500,never,never,4~8,4~8,less1
18958,Female,21,Unmarried partner,Some college - no degree,Food Preparation & Serving Related,Less than $12500,never,1~3,4~8,,4~8
11669,Male,50plus,Unmarried partner,Bachelors degree,Personal Care & Service,$100000 or More,gt8,never,1~3,4~8,1~3
13254,Female,21,Married partner,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,less1,less1
18128,Male,31,Single,Some college - no degree,Office & Administrative Support,$12500 - $24999,4~8,never,gt8,1~3,never
20227,Female,31,Married partner,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,gt8,4~8,less1
17646,Male,50plus,Married partner,Associates degree,Retired,$37500 - $49999,never,never,4~8,4~8,never
19877,Male,36,Single,Some college - no degree,Office & Administrative Support,$25000 - $37499,less1,never,less1,less1,less1
22421,Male,31,Married partner,Some college - no degree,Protective Service,$100000 or More,1~3,less1,4~8,1~3,4~8
19132,Female,21,Married partner,Some college - no degree,Student,Less than $12500,less1,gt8,4~8,1~3,1~3
18344,Male,26,Unmarried partner,Bachelors degree,Sales & Related,$75000 - $87499,never,never,1~3,4~8,1~3
10412,Male,50plus,Married partner,Bachelors degree,Personal Care & Service,$50000 - $62499,never,less1,less1,1~3,less1
10131,Male,26,Unmarried partner,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1
15800,Female,31,Unmarried partner,Bachelors degree,Management,$25000 - $37499,4~8,less1,1~3,4~8,1~3
21656,Female,41,Married partner,Graduate degree (Masters or Doctorate),Management,$75000 - $87499,less1,1~3,4~8,1~3,never
11549,Female,21,Single,Bachelors degree,Arts Design Entertainment Sports & Media,$100000 or More,less1,less1,1~3,1~3,1~3
15782,Female,41,Single,Associates degree,Sales & Related,$25000 - $37499,less1,less1,4~8,4~8,1~3
21406,Male,50plus,Married partner,Graduate degree (Masters or Doctorate),Retired,$50000 - $62499,less1,less1,less1,less1,less1
14204,Male,41,Married partner,Graduate degree (Masters or Doctorate),Computer & Mathematical,$37500 - $49999,less1,less1,gt8,gt8,4~8
18463,Female,50plus,Married partner,Some college - no degree,Personal Care & Service,$87500 - $99999,never,gt8,less1,1~3,less1
16965,Female,31,Married partner,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,gt8,4~8,less1
17761,Male,21,Unmarried partner,Bachelors degree,Business & Financial,$62500 - $74999,4~8,1~3,4~8,1~3,less1
16929,Male,31,Unmarried partner,Some college - no degree,Sales & Related,$62500 - $74999,gt8,1~3,1~3,4~8,less1
10927,Female,31,Single,Graduate degree (Masters or Doctorate),Life Physical Social Science,$50000 - $62499,1~3,4~8,4~8,4~8,4~8
14008,Female,50plus,Married partner,Graduate degree (Masters or Doctorate),Education&Training&Library,$100000 or More,4~8,gt8,4~8,4~8,4~8
15851,Female,26,Married partner,Graduate degree (Masters or Doctorate),Community & Social Services,$50000 - $62499,less1,less1,less1,gt8,less1
12887,Female,36,Married partner,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,4~8,1~3,1~3
17119,Male,31,Married partner,Graduate degree (Masters or Doctorate),Education&Training&Library,$62500 - $74999,less1,less1,4~8,4~8,less1
15458,Male,26,Single,Bachelors degree,Sales & Related,$75000 - $87499,never,never,1~3,1~3,1~3
21172,Female,below21,Unmarried partner,Some college - no degree,Education&Training&Library,$37500 - $49999,never,gt8,gt8,gt8,less1
13664,Female,31,Married partner,Bachelors degree,Sales & Related,$12500 - $24999,less1,1~3,1~3,1~3,less1
16144,Male,46,Married partner,Graduate degree (Masters or Doctorate),Retired,$50000 - $62499,never,never,less1,4~8,1~3
11999,Male,21,Married partner,Bachelors degree,Management,$50000 - $62499,never,never,4~8,4~8,1~3
16347,Female,21,Married partner,Some college - no degree,Unemployed,$50000 - $62499,less1,4~8,4~8,4~8,4~8
17369,Male,26,Married partner,Bachelors degree,Education&Training&Library,$37500 - $49999,never,,1~3,1~3,less1
15942,Female,21,Married partner,Some college - no degree,Unemployed,$37500 - $49999,less1,less1,1~3,1~3,1~3
16111,Male,21,Unmarried partner,Some college - no degree,Food Preparation & Serving Related,$12500 - $24999,1~3,less1,1~3,1~3,never
19649,Male,21,Single,Bachelors degree,Student,$25000 - $37499,1~3,4~8,4~8,1~3,
15451,Female,50plus,Single,Bachelors degree,Unemployed,Less than $12500,never,never,less1,less1,never
15079,Male,36,Married partner,Some college - no degree,Healthcare Practitioners & Technical,$25000 - $37499,never,gt8,4~8,less1,less1
20226,Female,31,Married partner,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,gt8,4~8,less1
10808,Female,46,Married partner,Some college - no degree,Sales & Related,$25000 - $37499,less1,less1,1~3,less1,never
12965,Male,31,Married partner,Some college - no degree,Computer & Mathematical,$37500 - $49999,never,less1,4~8,less1,less1
17561,Female,below21,Single,Some college - no degree,Healthcare Support,Less than $12500,never,1~3,less1,4~8,less1
10445,Male,26,Single,Bachelors degree,Computer & Mathematical,$50000 - $62499,never,1~3,1~3,less1,less1
17463,Female,31,Unmarried partner,Graduate degree (Masters or Doctorate),Life Physical Social Science,$50000 - $62499,never,never,less1,less1,never
20122,Female,26,Married partner,Some college - no degree,Office & Administrative Support,$75000 - $87499,never,never,1~3,4~8,less1
22197,Female,26,Unmarried partner,Some college - no degree,Computer & Mathematical,$50000 - $62499,4~8,gt8,1~3,1~3,1~3
21278,Male,21,Single,Bachelors degree,Student,$25000 - $37499,1~3,4~8,1~3,1~3,less1
20677,Female,26,Married partner,Some college - no degree,Unemployed,$25000 - $37499,never,never,1~3,less1,never
14976,Male,21,Single,Bachelors degree,Sales & Related,$100000 or More,less1,4~8,1~3,4~8,1~3
19844,Female,50plus,Married partner,Bachelors degree,Sales & Related,$50000 - $62499,1~3,4~8,less1,1~3,less1
16333,Female,36,Divorced,Graduate degree (Masters or Doctorate),Student,$12500 - $24999,never,gt8,gt8,gt8,1~3
18848,Male,26,Married partner,Bachelors degree,Computer & Mathematical,$50000 - $62499,never,1~3,1~3,1~3,1~3
10601,Male,26,Single,Bachelors degree,Office & Administrative Support,$50000 - $62499,4~8,never,4~8,1~3,less1
20461,Female,36,Divorced,Some college - no degree,Office & Administrative Support,$25000 - $37499,never,gt8,4~8,4~8,less1
10511,Male,26,Unmarried partner,Bachelors degree,Community & Social Services,$12500 - $24999,never,,less1,less1,less1
22275,Male,26,Single,Some High School,Unemployed,Less than $12500,1~3,gt8,4~8,4~8,4~8
17138,Female,41,Married partner,Bachelors degree,Personal Care & Service,$100000 or More,1~3,less1,less1,1~3,1~3
15668,Female,31,Single,Bachelors degree,Production Occupations,$37500 - $49999,less1,less1,4~8,,less1
21869,Female,21,Married partner,Some college - no degree,Sales & Related,$25000 - $37499,less1,1~3,4~8,1~3,never
15337,Female,26,Unmarried partner,Some college - no degree,Student,$25000 - $37499,never,less1,1~3,1~3,less1
20318,Female,21,Married partner,Associates degree,Unemployed,$50000 - $62499,never,1~3,1~3,1~3,1~3
14564,Female,31,Married partner,Some college - no degree,Office & Administrative Support,$37500 - $49999,1~3,1~3,4~8,1~3,less1
22300,Female,50plus,Widowed,High School Graduate,Retired,$12500 - $24999,never,never,4~8,1~3,
14809,Female,31,Single,Bachelors degree,Community & Social Services,$50000 - $62499,4~8,1~3,1~3,1~3,less1
11405,Female,50plus,Widowed,High School Graduate,Retired,$12500 - $24999,never,less1,1~3,4~8,less1
20535,Female,50plus,Married partner,High School Graduate,Retired,$75000 - $87499,never,never,4~8,less1,1~3
20884,Female,below21,Unmarried partner,High School Graduate,Student,Less than $12500,never,4~8,1~3,4~8,less1
21039,Male,46,Single,Some college - no degree,Sales & Related,Less than $12500,1~3,1~3,4~8,4~8,4~8
18502,Male,46,Married partner,Graduate degree (Masters or Doctorate),Management,$87500 - $99999,less1,1~3,1~3,less1,1~3
16155,Male,46,Married partner,Graduate degree (Masters or Doctorate),Retired,$50000 - $62499,never,never,less1,4~8,1~3
10610,Male,26,Single,Bachelors degree,Office & Administrative Support,$50000 - $62499,4~8,never,4~8,1~3,less1
10327,Female,21,Unmarried partner,Associates degree,Student,$75000 - $87499,never,less1,1~3,1~3,less1
15568,Male,36,Married partner,Graduate degree (Masters or Doctorate),Transportation & Material Moving,$87500 - $99999,less1,less1,less1,1~3,less1
13390,Male,50plus,Married partner,Some college - no degree,Protective Service,$37500 - $49999,never,less1,gt8,gt8,1~3
12230,Female,26,Married partner,Associates degree,Management,$12500 - $24999,never,less1,gt8,4~8,never
16395,Male,31,Single,High School Graduate,Unemployed,$12500 - $24999,never,never,1~3,1~3,1~3
13405,Female,46,Married partner,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,less1,4~8,1~3,1~3,less1
13624,Male,21,Single,Bachelors degree,Student,$62500 - $74999,4~8,4~8,1~3,1~3,less1
11335,Female,46,Single,Some college - no degree,Sales & Related,$37500 - $49999,never,less1,1~3,1~3,1~3
11936,Female,31,Single,Bachelors degree,Transportation & Material Moving,$25000 - $37499,less1,1~3,4~8,gt8,less1
22468,Male,41,Divorced,High School Graduate,Sales & Related,$12500 - $24999,never,less1,less1,1~3,4~8
11311,Female,21,Unmarried partner,High School Graduate,Student,$37500 - $49999,never,1~3,1~3,4~8,never
19027,Male,21,Single,Some college - no degree,Student,$12500 - $24999,1~3,less1,4~8,less1,never
17179,Male,46,Single,Graduate degree (Masters or Doctorate),Computer & Mathematical,$37500 - $49999,never,gt8,1~3,4~8,less1
19309,Male,below21,Single,High School Graduate,Student,$87500 - $99999,never,less1,1~3,4~8,4~8
16011,Female,26,Single,Bachelors degree,Unemployed,Less than $12500,4~8,1~3,gt8,4~8,1~3
21590,Male,36,Unmarried partner,Some college - no degree,Construction & Extraction,$25000 - $37499,never,4~8,4~8,less1,less1
19534,Female,below21,Unmarried partner,Some college - no degree,Student,$100000 or More,less1,1~3,less1,1~3,less1
17374,Male,below21,Unmarried partner,Some college - no degree,Student,$87500 - $99999,never,1~3,1~3,1~3,less1
19328,Female,46,Divorced,Bachelors degree,Office & Administrative Support,$25000 - $37499,never,1~3,1~3,1~3,1~3
12463,Female,21,Unmarried partner,Some college - no degree,Unemployed,$12500 - $24999,1~3,less1,1~3,1~3,less1
19664,Male,21,Single,Some college - no degree,Student,$62500 - $74999,never,never,4~8,1~3,1~3
18377,Female,50plus,Married partner,Bachelors degree,Education&Training&Library,$12500 - $24999,less1,4~8,4~8,gt8,less1
10772,Female,26,Single,Graduate degree (Masters or Doctorate),Legal,$25000 - $37499,1~3,1~3,1~3,gt8,1~3
13296,Male,21,Single,Some college - no degree,Student,$50000 - $62499,never,4~8,4~8,1~3,less1
10215,Female,21,Unmarried partner,Bachelors degree,Management,$87500 - $99999,1~3,1~3,1~3,1~3,1~3
16533,Male,below21,Single,Some college - no degree,Student,Less than $12500,1~3,4~8,1~3,gt8,4~8
14526,Female,46,Married partner,Some college - no degree,Personal Care & Service,$37500 - $49999,never,less1,less1,1~3,less1
11890,Male,21,Single,Some college - no degree,Student,$12500 - $24999,less1,less1,4~8,4~8,less1
15415,Female,26,Single,Bachelors degree,Personal Care & Service,$12500 - $24999,never,,1~3,1~3,less1
15427,Female,26,Single,Bachelors degree,Personal Care & Service,$12500 - $24999,never,,1~3,1~3,less1
10077,Male,46,Married partner,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1
11269,Male,50plus,Widowed,Some college - no degree,Construction & Extraction,Less than $12500,never,never,less1,1~3,less1
10839,Male,50plus,Married partner,Bachelors degree,Retired,$87500 - $99999,never,never,less1,1~3,less1
10413,Male,50plus,Married partner,Bachelors degree,Personal Care & Service,$50000 - $62499,never,less1,less1,1~3,less1
15332,Female,26,Unmarried partner,Some college - no degree,Student,$25000 - $37499,never,less1,1~3,1~3,less1
13653,Female,31,Married partner,Bachelors degree,Sales & Related,$12500 - $24999,less1,1~3,1~3,1~3,less1
21472,Female,41,Married partner,Some college - no degree,Education&Training&Library,$100000 or More,never,gt8,gt8,gt8,4~8
15867,Female,26,Married partner,Graduate degree (Masters or Doctorate),Community & Social Services,$50000 - $62499,less1,less1,less1,gt8,less1
13603,Female,26,Single,Bachelors degree,Retired,$87500 - $99999,never,less1,less1,1~3,less1
